,model_id,rmse,mse,mae,rmsle,mean_residual_deviance
0,GBM_grid_1_AutoML_1_20240211_222708_model_16,0.913743084352338,0.8349264242017239,0.2986371501128498,0.3102019362735209,0.8349264242017239
1,GBM_grid_1_AutoML_1_20240211_222708_model_19,0.9144391225453586,0.8361989088415255,0.2994977649346246,0.3102566173922484,0.8361989088415255
2,GBM_grid_1_AutoML_1_20240211_222708_model_11,0.9150258564215608,0.8372723179200108,0.3021931167042825,0.3091355023191739,0.8372723179200108
3,GBM_grid_1_AutoML_1_20240211_222708_model_4,0.9154265125234528,0.8380056998308514,0.2996267092494948,0.311112538686117,0.8380056998308514
4,GBM_grid_1_AutoML_1_20240211_222708_model_6,0.9155336986435244,0.8382019533518917,0.2998718560962901,0.3107090278158539,0.8382019533518917
5,GBM_1_AutoML_1_20240211_222708,0.9157039425255894,0.8385137103569079,0.2978695598114267,0.3102807209702966,0.8385137103569079
6,GBM_grid_1_AutoML_1_20240211_222708_model_20,0.9160953253714412,0.8392306451674066,0.3053568718771,0.3092450713465925,0.8392306451674066
7,GBM_grid_1_AutoML_1_20240211_222708_model_9,0.9167413462853944,0.8404146959891574,0.3020734246611162,0.3102031901899023,0.8404146959891574
8,GBM_grid_1_AutoML_1_20240211_222708_model_14,0.9168088890206852,0.8405385389873432,0.300991438640913,0.3116122066883581,0.8405385389873432
9,XGBoost_grid_1_AutoML_1_20240211_222708_model_77,0.9171157496853788,0.8411012983209746,0.2925202471010835,0.3133062728100327,0.8411012983209746
10,GBM_grid_1_AutoML_1_20240211_222708_model_1,0.9172728201540976,0.8413894265934514,0.3006699567247382,0.3156072908605347,0.8413894265934514
11,GBM_3_AutoML_1_20240211_222708,0.9174479886976636,0.8417108119653883,0.30043510947585,0.3103453384648723,0.8417108119653883
12,GBM_grid_1_AutoML_1_20240211_222708_model_23,0.918415186402538,0.8434864546148084,0.2997012472694421,0.3126618723125103,0.8434864546148084
13,XGBoost_grid_1_AutoML_1_20240211_222708_model_54,0.9185424970436102,0.8437203188751108,0.2993280686728924,0.314096916693236,0.8437203188751108
14,XGBoost_grid_1_AutoML_1_20240211_222708_model_92,0.9189540251989644,0.8444765004293786,0.2947422822776524,0.314019163876555,0.8444765004293786
15,GBM_grid_1_AutoML_1_20240211_222708_model_22,0.9193731441956694,0.845246978268231,0.3046483059462718,0.3129270396619107,0.845246978268231
16,XGBoost_grid_1_AutoML_1_20240211_222708_model_56,0.9195866366001154,0.8456395822135128,0.2942633245439582,0.3154254937372778,0.8456395822135128
17,GBM_4_AutoML_1_20240211_222708,0.919624294981202,0.8457088439196732,0.3014547578083509,0.3108397524110383,0.8457088439196732
18,GBM_grid_1_AutoML_1_20240211_222708_model_5,0.919642156750735,0.8457416964731436,0.2997187165448457,0.3143518848731945,0.8457416964731436
19,XGBoost_grid_1_AutoML_1_20240211_222708_model_21,0.9196911695110804,0.8458318472766587,0.2962974886568771,0.316221050985812,0.8458318472766587
20,GBM_grid_1_AutoML_1_20240211_222708_model_3,0.9200982127846852,0.846580721169572,0.3036749534512574,0.3116180659967332,0.846580721169572
21,XGBoost_grid_1_AutoML_1_20240211_222708_model_89,0.920380054867533,0.8470994453979631,0.2960894760403103,0.3144640962431461,0.8470994453979631
22,GBM_2_AutoML_1_20240211_222708,0.9204284537723972,0.8471885385138459,0.3021412311776679,0.3102359809665088,0.8471885385138459
23,XGBoost_grid_1_AutoML_1_20240211_222708_model_64,0.9205518254814498,0.8474156633972295,0.2976355645610449,0.3151816685035599,0.8474156633972295
24,XGBoost_grid_1_AutoML_1_20240211_222708_model_60,0.9205544229448492,0.8474204456033242,0.2988453222398668,0.3143855027298455,0.8474204456033242
25,XGBoost_grid_1_AutoML_1_20240211_222708_model_15,0.9213958151158976,0.8489702481130895,0.2962255847717767,0.3164502928819968,0.8489702481130895
26,GBM_grid_1_AutoML_1_20240211_222708_model_10,0.92184423957046,0.8497968020292397,0.301654787066794,0.3143564275106862,0.8497968020292397
27,GBM_grid_1_AutoML_1_20240211_222708_model_15,0.9219419650263022,0.8499769868765594,0.3018124911521232,0.3154477257449933,0.8499769868765594
