,hex_id,bank,construction,doctors,fire_station,fuel,house,industrial,outbuilding,pharmacy,place_of_worship,post_office,restaurant,service,townhall,yes
0,891f504d26bffff,0.0,0.0,0.0,0.0,0.0,0.0,57268.57875783995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,891f52b2123ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.9525475409691,0.0,2090.615259970611,0.0,193.1609488570589,0.0,492.62900400327527,20491.217752342312
2,891f52b2127ffff,0.0,0.0,1125.1254246604585,0.0,0.0,0.0,0.0,873.7065793230697,0.0,2090.615259970611,0.0,0.0,0.0,0.0,25566.13834102611
3,891f52b212fffff,0.0,0.0,0.0,0.0,671.1408595629102,0.0,0.0,668.2993375523652,412.24461879857284,0.0,403.7430863015342,0.0,0.0,0.0,20257.149818036123
4,891f52b2133ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7554.752698783436
5,891f52b2137ffff,335.4969380077459,0.0,0.0,755.7084681806683,0.0,234.44426766671108,0.0,340.791734961986,0.0,0.0,0.0,274.5798847176379,0.0,0.0,19865.784437682527
6,891f52b21a3ffff,0.0,0.0,0.0,0.0,0.0,477.4371379646973,0.0,196.9673625978954,0.0,0.0,0.0,0.0,0.0,0.0,27023.774994995176
7,891f52b21a7ffff,0.0,0.0,0.0,0.0,0.0,0.0,70457.20694322667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7356.567793083672
8,891f52b21abffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15106.115240475852
9,891f52b21afffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417.1077664365357,0.0,0.0,0.0,0.0,0.0,0.0,34265.96319787006
10,891f52b21b3ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.9409243609825
11,891f52b21b7ffff,0.0,0.0,0.0,0.0,0.0,0.0,55911.226846360965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2218.327603604795
12,891f52b28d3ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.3112729162875
13,891f52b2c43ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.317063251739,0.0,0.0,0.0,0.0,0.0,0.0,19665.11541826218
14,891f52b2c47ffff,0.0,483.97254987154076,0.0,0.0,0.0,0.0,0.0,268.1593117970256,0.0,0.0,0.0,0.0,0.0,0.0,4404.797175810425
15,891f52b2c4bffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.39636641301365,0.0,0.0,0.0,0.0,0.0,0.0,21630.625998309384
16,891f52b2c53ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.4385396811093
17,891f52b2c5bffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.1256413964788,0.0,0.0,0.0,0.0,0.0,0.0,26690.95582361192
18,891f52b2c73ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3065.116372609539
19,891f52b2c77ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.75196735852
20,891f52b2c87ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.37776264794053,0.0,0.0,0.0,0.0,0.0,0.0,363.6089480075956
21,891f52b2cbbffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.37776264794053,0.0,0.0,0.0,0.0,0.0,0.0,765.3642272728633
22,891f52b2ccbffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2878.3015134620646
23,891f52b2e83ffff,0.0,0.0,0.0,0.0,0.0,441.2530727384371,0.0,327.9182100650786,0.0,0.0,0.0,0.0,0.0,0.0,11373.713315762201
24,891f52b2e87ffff,0.0,380.71195131552616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16268.6038136292
25,891f52b2e8fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4336.745461325254
26,891f52b2e97ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.39636641301365,0.0,0.0,0.0,0.0,0.0,0.0,27283.50527264305
27,891f52b2eb3ffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.73938253481008,0.0,0.0
28,891f52b2ebbffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.7072759161281
